/data/Automation/main/tests/unit_tests/3dworkbench
['./terminal_lumped', '0:00:16', 'PASSED']
['./CelsiusFEMCase_2R', '0:00:02', 'PASSED']
['./VTM_2D_3D', '0:01:21', 'PASSED']
['./transient_thermal_atlas', '0:01:07', 'PASSED']
['./2R_HTC', '0:00:20', 'PASSED']
['./CelsiusFEMETcoSim', '0:01:43', 'PASSED']
['./impt_expt_powerMap', '0:00:34', 'PASSED']
['./beam_deflection', '0:00:10', 'PASSED']
['./CreateTransientPower/create_pwl', '0:00:45', 'PASSED']
['./CreateTransientPower/create_transient_PowerMap', '0:00:01', 'PASSED']
['./CreateTransientPower/create_pulse', '0:00:45', 'PASSED']
['./volume_temperature', '0:00:07', 'PASSED']
['./two_temperature_source', '0:00:07', 'PASSED']
/data/Automation/main/tests/unit_tests/Optimality
['./ai_simulation_hsso_usb_drillSize', '0:05:23', 'PASSED']
['./optimality_customer_function_workbench', '0:02:06', 'PASSED']
['./ai_optimality_test_fake_case_from_suomin', '0:01:21', 'PASSED']
['./ai_simulation_3dlayout_one_trace_smaller', '0:01:39', 'PASSED']
['./optimality_antenna_Far_Field_test', '0:03:07', 'PASSED']
